worker_id,policy_id,zone,expected_income,actual_income,income_delta,delta_ratio,gps_offset_m,disruption_score,activity_score,claim_hour,is_duplicate,fraud_signals,is_fraud,population
2457,24572,west,280.0,116.04,163.96,0.5856,0.0,0.881,0.7023,10,0,0,0,legit
8773,87733,west,105.14,64.42,40.72,0.3873,0.0,0.4947,0.6745,12,0,0,0,legit
1295,12953,west,242.94,85.12,157.83,0.6496,187.7,0.8534,0.8025,18,0,0,0,legit
2346,23464,south,129.51,39.23,90.29,0.6971,177.1,0.4679,0.8801,23,0,0,0,legit
6998,69981,west,235.32,24.36,210.97,0.8965,5631.2,0.2494,0.145,11,0,3,1,fraud
4545,45453,central,252.17,227.69,24.48,0.0971,5434.5,0.0869,0.233,8,0,2,1,fraud
1389,13892,north,236.22,221.75,14.47,0.0613,4106.2,0.3878,0.3034,7,0,0,0,fraud
2101,21013,central,161.88,152.36,9.52,0.0588,14741.0,0.1078,0.042,13,0,3,1,fraud
7911,79111,north,196.09,121.52,74.58,0.3803,251.7,0.8006,0.9574,18,0,0,0,legit
8284,82841,east,244.18,222.14,22.04,0.0903,5608.5,0.44,0.1192,4,0,3,1,fraud
3667,36671,central,155.69,90.28,65.42,0.4202,250.2,0.8567,0.9769,10,0,0,0,legit
9577,95771,east,147.38,93.23,54.15,0.3674,0.0,0.8559,0.8362,18,0,0,0,legit
2686,26861,west,107.54,47.96,59.58,0.554,119.7,0.9124,0.8283,11,0,0,0,legit
3142,31423,west,157.52,74.59,82.93,0.5265,253.1,0.6664,0.713,11,0,0,0,legit
9187,91874,west,183.28,61.32,121.96,0.6654,316.2,0.8517,0.8149,22,0,0,0,legit
2892,28924,central,115.35,23.28,92.07,0.7982,527.7,0.7876,0.7121,21,0,0,0,legit
4581,45813,north,237.58,96.47,141.11,0.5939,0.0,0.6957,0.6185,11,0,0,0,legit
9318,93183,south,160.88,12.08,148.8,0.9249,7377.3,0.1423,0.0904,1,0,5,1,fraud
9037,90374,east,173.73,104.37,69.36,0.3993,0.0,0.534,0.8782,21,0,0,0,legit
5143,51434,west,93.48,32.37,61.11,0.6537,47.1,0.8011,0.6848,19,0,0,0,legit
2607,26074,south,200.92,24.4,176.51,0.8785,18428.2,0.2841,0.0737,4,0,3,1,fraud
5417,54174,east,138.86,89.74,49.12,0.3537,157.3,0.826,0.7874,9,0,0,0,legit
3786,37863,central,156.07,50.08,105.99,0.6791,236.3,0.8547,0.8678,12,0,0,0,legit
9380,93804,east,104.89,21.52,83.37,0.7948,366.9,0.6963,0.5517,19,0,0,0,legit
1596,15962,central,114.17,111.72,2.45,0.0215,7341.9,0.3965,0.1284,11,0,3,1,fraud
9807,98072,north,151.57,47.1,104.47,0.6892,0.0,0.3496,0.7389,18,0,0,0,legit
4657,46572,east,177.45,93.29,84.16,0.4743,612.7,0.7543,0.4898,12,0,0,0,legit
7784,77842,north,201.38,79.61,121.77,0.6047,1.7,0.6517,0.5687,10,0,0,0,legit
5573,55733,north,134.21,129.84,4.37,0.0326,15328.9,0.0754,0.3073,2,0,4,1,fraud
8529,85294,central,157.22,54.73,102.49,0.6519,101.9,0.605,0.7555,11,0,0,0,legit
6182,61821,west,122.34,74.32,48.02,0.3925,62.7,0.8207,0.9628,20,0,0,0,legit
1258,12582,south,137.03,62.29,74.73,0.5454,320.8,0.8357,0.6913,11,0,0,0,legit
6902,69024,south,280.0,68.61,211.39,0.755,232.7,0.7798,0.8096,20,0,0,0,legit
2914,29143,east,183.87,40.7,143.16,0.7786,480.5,0.5927,0.7076,10,0,0,0,legit
9200,92003,south,139.65,91.47,48.18,0.345,18.9,0.7805,0.8895,18,0,0,0,legit
2400,24004,east,198.1,181.82,16.27,0.0821,3463.3,0.5,0.1242,5,0,1,0,fraud
1503,15033,north,138.92,73.51,65.41,0.4709,0.0,0.8472,0.5181,19,0,0,0,legit
9157,91572,central,198.65,101.56,97.1,0.4888,314.6,0.5732,0.5931,17,0,0,0,legit
6930,69303,west,200.8,120.25,80.55,0.4012,6.8,0.7212,0.6258,12,0,0,0,legit
9524,95242,south,152.22,104.53,47.69,0.3133,70.4,0.6812,0.9267,22,0,0,0,legit
5072,50723,north,205.06,126.58,78.48,0.3827,0.0,0.9432,0.7629,12,0,0,0,legit
1847,18472,east,162.82,107.91,54.91,0.3373,401.4,0.6946,0.8743,12,0,0,0,legit
6641,66411,north,161.7,73.16,88.54,0.5476,0.0,0.4788,0.6825,20,0,0,0,legit
9104,91042,west,203.3,123.37,79.93,0.3932,548.6,0.5932,0.8268,18,0,0,0,legit
4966,49664,north,128.53,50.77,77.76,0.605,186.7,0.6459,0.7169,11,0,0,0,legit
9185,91854,south,122.02,17.14,104.89,0.8596,11392.4,0.3202,0.1044,1,0,3,1,fraud
7908,79081,west,137.95,55.54,82.41,0.5974,0.0,0.7294,0.4424,12,0,0,0,legit
8828,88282,central,180.46,102.41,78.05,0.4325,165.0,0.8409,0.5696,17,0,0,0,legit
8088,80883,north,108.8,70.3,38.5,0.3538,116.5,0.5525,0.4019,12,0,0,0,legit
6015,60153,unknown,113.34,13.45,99.89,0.8813,8817.9,0.4695,0.35,12,0,1,0,fraud
5178,51784,east,149.54,31.45,118.09,0.7897,217.1,0.6278,0.8342,20,0,0,0,legit
6330,63303,north,205.45,17.54,187.91,0.9146,5274.6,0.1681,0.0393,5,0,3,1,fraud
2252,22523,north,147.84,20.4,127.44,0.862,12482.4,0.3514,0.0716,5,0,2,1,fraud
1885,18852,east,109.47,27.22,82.25,0.7513,34.4,0.7995,0.7134,20,0,0,0,legit
1904,19044,north,80.0,51.26,28.74,0.3592,152.4,0.8283,0.8428,20,0,0,0,legit
2043,20433,central,191.18,179.12,12.06,0.0631,3252.0,0.2188,0.0111,4,0,3,1,fraud
5179,51793,south,157.72,79.46,78.26,0.4962,0.0,0.9622,0.8299,11,0,0,0,legit
4735,47351,central,162.91,82.84,80.08,0.4915,145.0,0.6303,0.8044,11,0,0,0,legit
6374,63743,south,145.28,69.4,75.88,0.5223,205.4,0.4701,0.8029,21,0,0,0,legit
3507,35074,east,232.94,152.39,80.55,0.3458,301.0,0.9638,0.7858,11,0,0,0,legit
4857,48574,north,111.06,61.57,49.49,0.4456,239.8,0.9108,0.7747,22,0,0,0,legit
2635,26351,west,175.62,88.6,87.01,0.4955,103.4,0.8321,0.7379,17,0,0,0,legit
5099,50991,east,172.32,74.06,98.26,0.5702,29.7,0.7191,0.7902,11,0,0,0,legit
9153,91533,central,88.09,57.26,30.83,0.35,84.9,0.6638,0.8119,18,0,0,0,legit
1561,15612,east,190.53,131.36,59.17,0.3105,0.0,0.6372,0.6556,20,0,0,0,legit
3125,31254,central,200.3,4.86,195.44,0.9757,10626.2,0.0961,0.0729,3,0,5,1,fraud
3693,36933,east,142.42,56.97,85.45,0.6,0.0,0.7298,0.6808,12,0,0,0,legit
7066,70661,north,119.26,81.07,38.19,0.3202,154.2,0.783,0.7525,19,0,0,0,legit
4806,48064,central,152.4,146.67,5.73,0.0376,18119.5,0.2082,0.0839,5,0,4,1,fraud
6780,67803,south,162.52,58.31,104.21,0.6412,0.0,0.8551,0.5976,12,0,0,0,legit
5459,54591,east,244.44,149.17,95.26,0.3897,38.7,0.6829,0.5531,11,0,0,0,legit
4790,47901,central,206.41,76.53,129.88,0.6292,0.0,0.6558,0.7703,21,0,0,0,legit
5584,55844,east,215.7,103.73,111.97,0.5191,317.6,0.701,0.575,19,0,0,0,legit
5207,52073,south,256.32,177.07,79.25,0.3092,0.0,0.9907,0.8551,22,0,0,0,legit
9849,98493,south,122.97,112.54,10.42,0.0847,11599.5,0.3817,0.1778,1,0,2,1,fraud
9593,95931,central,130.13,37.15,92.98,0.7145,106.6,0.873,0.8009,13,0,0,0,legit
6765,67654,central,111.92,71.49,40.43,0.3613,35.9,0.8638,0.7285,13,0,0,0,legit
3417,34172,unknown,134.67,6.98,127.69,0.9482,7856.5,0.0965,0.0976,3,0,5,1,fraud
7356,73564,west,179.43,123.81,55.62,0.31,602.4,0.6905,0.9463,11,0,0,0,legit
9376,93762,east,144.99,38.83,106.17,0.7322,0.0,0.6463,0.8635,17,0,0,0,legit
7265,72651,west,153.11,53.49,99.62,0.6506,140.3,0.7006,0.877,10,0,0,0,legit
1943,19432,east,141.18,61.79,79.4,0.5624,230.2,0.9285,0.5403,12,0,0,0,legit
7746,77464,west,92.04,0.01,92.03,0.9999,4782.2,0.2026,0.35,21,0,2,1,fraud
3535,35354,east,209.6,8.12,201.48,0.9612,17141.5,0.2015,0.1589,21,0,3,1,fraud
5186,51864,west,120.56,35.42,85.14,0.7062,13.9,0.8813,0.9063,19,0,0,0,legit
7120,71201,east,198.62,58.86,139.76,0.7036,40.3,0.6737,0.4859,21,0,0,0,legit
1814,18141,east,227.21,55.7,171.51,0.7549,361.9,0.8695,0.7568,12,0,0,0,legit
9293,92933,south,193.84,53.21,140.63,0.7255,184.2,0.5715,0.678,12,0,0,0,legit
4704,47041,central,97.76,29.96,67.8,0.6935,409.9,0.5979,0.8804,21,0,0,0,legit
4036,40364,west,280.0,30.82,249.18,0.8899,15296.7,0.3065,0.0369,3,0,3,1,fraud
7075,70751,central,145.66,61.14,84.52,0.5803,198.9,0.8765,0.8102,23,0,0,0,legit
1611,16114,west,209.62,140.27,69.35,0.3308,158.2,0.8175,0.4662,11,0,0,0,legit
8159,81591,south,163.09,149.77,13.32,0.0817,5912.9,0.498,0.35,2,0,2,1,fraud
3980,39801,central,126.12,61.21,64.91,0.5147,150.2,0.7807,0.7185,19,0,0,0,legit
6842,68421,north,127.53,66.24,61.29,0.4806,291.6,0.4546,0.7834,20,0,0,0,legit
8321,83213,west,159.87,35.93,123.94,0.7752,297.0,0.5516,0.7208,10,0,0,0,legit
4334,43344,south,154.46,100.85,53.61,0.3471,0.0,0.8293,0.6896,11,0,0,0,legit
4907,49074,east,223.24,0.43,222.82,0.9981,3848.8,0.3023,0.1435,10,0,2,1,fraud
8063,80632,central,176.22,97.03,79.2,0.4494,0.0,0.846,0.6074,19,0,0,0,legit
3618,36184,central,233.11,218.73,14.39,0.0617,19830.3,0.255,0.0942,10,0,2,1,fraud
5777,57771,west,165.91,55.97,109.94,0.6627,633.4,0.9025,0.3476,20,0,0,0,legit
7480,74803,central,142.55,54.38,88.16,0.6185,154.3,0.914,0.9147,9,0,0,0,legit
8412,84123,east,235.8,72.77,163.02,0.6914,279.0,0.5892,0.8086,12,0,0,0,legit
6156,61561,east,166.32,45.61,120.7,0.7257,221.6,0.5936,0.9103,21,0,0,0,legit
4804,48042,south,152.16,81.41,70.75,0.465,417.3,0.7908,0.8128,19,0,0,0,legit
6560,65601,west,107.99,67.28,40.7,0.3769,54.2,0.6062,0.6521,21,0,0,0,legit
2060,20603,west,110.25,69.95,40.3,0.3656,0.0,0.5426,0.9183,20,0,0,0,legit
1721,17214,central,108.35,42.43,65.92,0.6084,186.7,0.8899,0.7438,17,0,0,0,legit
1209,12094,central,112.02,64.23,47.79,0.4266,0.0,0.6302,0.7296,18,0,0,0,legit
9846,98461,south,234.58,150.21,84.37,0.3597,309.4,0.7908,0.6421,12,0,0,0,legit
2531,25311,central,113.02,66.72,46.3,0.4097,121.3,0.8015,0.7094,13,0,0,0,legit
7997,79971,west,135.25,49.3,85.95,0.6355,0.0,0.7153,0.7264,12,0,0,0,legit
2931,29313,north,116.54,77.16,39.38,0.3379,300.6,0.2302,0.9349,21,0,1,0,legit
7367,73673,east,273.69,88.13,185.56,0.678,152.8,0.8201,0.4176,18,0,0,0,legit
3554,35541,central,168.3,65.93,102.37,0.6083,0.0,0.8442,0.7071,20,0,0,0,legit
8097,80971,west,212.39,76.31,136.08,0.6407,368.6,0.9631,0.7096,17,0,0,0,legit
4912,49123,east,224.38,77.33,147.05,0.6554,0.0,0.4999,0.8383,13,0,0,0,legit
5715,57154,west,136.62,87.17,49.45,0.362,358.0,0.5569,0.7964,11,0,0,0,legit
1560,15602,south,156.19,1.91,154.28,0.9878,19591.5,0.0962,0.0478,1,0,5,1,fraud
2861,28612,west,162.99,43.82,119.17,0.7312,0.0,0.6773,0.927,16,0,0,0,legit
8652,86523,west,152.45,88.52,63.93,0.4194,23.9,0.4185,0.7637,19,0,0,0,legit
3551,35511,central,202.33,105.72,96.6,0.4775,0.0,0.7855,0.7078,13,0,0,0,legit
5185,51854,west,280.0,97.88,182.12,0.6504,36.9,0.8373,0.8792,20,0,0,0,legit
3060,30604,south,263.57,65.06,198.51,0.7531,0.0,0.5733,0.8261,22,0,0,0,legit
7955,79554,west,196.23,134.7,61.53,0.3136,0.0,0.8111,0.4728,20,0,0,0,legit
6910,69101,central,207.26,60.72,146.55,0.7071,312.2,0.881,0.8573,21,0,0,0,legit
7315,73153,south,211.82,56.88,154.94,0.7314,172.7,0.8381,0.6291,14,0,0,0,legit
9443,94433,west,193.47,128.07,65.4,0.338,176.9,0.8019,0.698,10,0,0,0,legit
8864,88643,central,151.72,141.85,9.88,0.0651,19040.0,0.0033,0.35,5,0,2,1,fraud
2006,20064,north,154.74,86.84,67.9,0.4388,156.2,0.7966,0.5615,19,0,0,0,legit
3436,34361,north,273.9,82.21,191.69,0.6999,266.6,0.4565,0.4845,19,0,0,0,legit
1750,17504,south,84.14,38.79,45.35,0.539,0.0,0.7812,0.623,19,0,0,0,legit
8958,89584,east,138.32,79.86,58.46,0.4226,232.9,0.6102,0.5513,22,0,0,0,legit
2240,22401,central,196.54,68.83,127.71,0.6498,202.0,0.2679,0.5839,12,0,0,0,legit
3193,31933,west,272.44,184.19,88.25,0.3239,75.1,0.4272,0.6491,10,0,0,0,legit
5579,55791,west,109.35,63.95,45.4,0.4152,84.7,0.8514,0.6091,22,0,0,0,legit
3428,34284,south,224.1,204.8,19.3,0.0861,14361.8,0.3358,0.3025,1,0,2,1,fraud
8184,81843,south,112.06,39.05,73.01,0.6516,393.7,0.434,0.6976,15,0,0,0,legit
5454,54543,north,230.15,117.56,112.59,0.4892,223.3,0.7669,0.9441,10,0,0,0,legit
6196,61962,west,196.78,183.96,12.82,0.0651,3684.3,0.1636,0.0223,2,0,3,1,fraud
4972,49723,north,189.78,54.73,135.06,0.7116,0.0,0.4991,0.9462,21,0,0,0,legit
4364,43642,south,179.67,84.84,94.83,0.5278,0.0,0.7812,0.8358,21,0,0,0,legit
4949,49491,unknown,154.66,141.76,12.9,0.0834,7182.9,0.1,0.101,1,0,4,1,fraud
7294,72943,south,135.21,66.7,68.51,0.5067,265.1,0.453,0.6072,20,0,0,0,legit
7901,79011,west,134.11,79.49,54.62,0.4073,0.0,0.8425,0.9491,12,0,0,0,legit
8741,87411,north,132.46,89.06,43.4,0.3276,606.3,0.8277,0.9027,10,0,0,0,legit
8339,83391,central,143.4,72.57,70.84,0.494,20.2,0.7851,0.6889,11,0,0,0,legit
4215,42153,north,280.0,88.41,191.59,0.6842,198.0,0.3655,0.9351,21,0,0,0,legit
3997,39971,central,172.71,59.63,113.08,0.6547,301.7,0.7888,0.8564,19,0,0,0,legit
7803,78031,south,252.39,134.65,117.74,0.4665,74.0,0.8361,0.8633,23,0,0,0,legit
5903,59033,central,214.22,69.82,144.4,0.6741,244.2,0.9058,0.497,21,0,0,0,legit
3610,36103,central,253.85,110.95,142.9,0.5629,0.0,0.5054,0.8659,9,0,0,0,legit
3334,33342,north,206.54,140.4,66.14,0.3202,4.3,0.8782,0.9066,12,0,0,0,legit
5719,57192,west,133.55,44.51,89.04,0.6667,64.4,0.8718,0.4657,18,0,0,0,legit
2042,20424,central,111.1,107.96,3.14,0.0283,4518.1,0.2564,0.1298,7,0,2,1,fraud
4989,49892,central,141.38,44.92,96.45,0.6822,295.7,0.7105,0.8621,20,0,0,0,legit
4795,47953,east,204.7,197.96,6.74,0.0329,7962.8,0.2466,0.0697,15,0,4,1,fraud
5446,54463,central,100.21,58.88,41.33,0.4124,3.4,0.8478,0.7246,20,0,0,0,legit
4536,45362,east,217.72,134.23,83.49,0.3835,291.0,0.7495,0.7979,19,0,0,0,legit
4981,49811,west,180.61,73.83,106.78,0.5912,0.0,0.7249,0.679,18,0,0,0,legit
5399,53991,south,152.59,31.39,121.19,0.7943,258.8,0.5903,0.9306,17,0,0,0,legit
6854,68544,east,162.58,53.16,109.42,0.673,0.0,0.7815,0.8372,22,0,0,0,legit
6861,68611,central,143.03,5.86,137.17,0.959,5848.3,0.3828,0.2757,6,0,2,1,fraud
6787,67874,central,139.42,73.24,66.18,0.4747,0.0,0.9286,0.7612,17,0,0,0,legit
5887,58871,north,182.2,173.43,8.77,0.0482,2295.5,0.5,0.3461,4,0,2,1,fraud
5936,59363,central,124.67,25.32,99.35,0.7969,0.0,0.9109,0.8396,12,0,0,0,legit
4100,41002,east,118.72,59.68,59.04,0.4973,40.9,0.702,0.7126,9,0,0,0,legit
1804,18043,east,131.19,42.32,88.87,0.6774,281.4,0.7129,0.8532,22,0,0,0,legit
9539,95394,east,280.0,78.37,201.63,0.7201,429.0,0.4784,0.8299,8,0,0,0,legit
7582,75822,west,162.06,100.28,61.78,0.3812,0.0,0.8721,0.7476,9,0,0,0,legit
6789,67893,central,88.21,28.41,59.79,0.6779,0.0,0.4802,0.6552,8,0,0,0,legit
5865,58654,west,129.73,41.29,88.45,0.6818,322.3,0.6951,0.8666,19,0,0,0,legit
2593,25931,central,154.69,50.92,103.78,0.6709,295.5,0.5811,0.6819,17,0,0,0,legit
6509,65091,east,190.25,65.46,124.79,0.6559,487.5,0.6147,0.7939,16,0,0,0,legit
6898,68981,east,144.39,80.66,63.73,0.4414,229.4,0.5431,0.8511,20,0,0,0,legit
6679,66794,south,147.23,135.93,11.3,0.0768,10366.1,0.0845,0.0964,2,0,4,1,fraud
8851,88514,west,216.33,130.16,86.17,0.3983,0.0,0.8936,0.4879,19,0,0,0,legit
1833,18333,central,181.61,72.34,109.27,0.6017,0.0,0.8968,0.7948,19,0,0,0,legit
9393,93933,south,187.67,18.16,169.51,0.9032,4445.2,0.5,0.1011,21,0,1,0,fraud
4370,43704,north,125.69,113.34,12.35,0.0983,8420.7,0.1856,0.1485,3,0,4,1,fraud
4462,44623,west,190.15,84.32,105.83,0.5565,411.9,0.7514,0.9699,20,0,0,0,legit
8016,80164,north,280.0,267.86,12.14,0.0433,19161.0,0.2479,0.0439,14,0,4,1,fraud
3394,33943,north,148.36,14.65,133.71,0.9012,13469.5,0.2758,0.2171,3,0,2,1,fraud
2815,28153,north,191.94,65.19,126.75,0.6604,34.8,0.4688,0.7846,19,0,0,0,legit
7936,79361,west,87.4,43.97,43.43,0.4969,90.6,0.51,0.6135,10,0,0,0,legit
2246,22463,central,182.72,123.73,58.99,0.3228,271.6,0.7402,0.5103,20,0,0,0,legit
3372,33724,south,160.53,74.27,86.26,0.5373,179.5,0.7145,0.4902,11,0,0,0,legit
3908,39081,west,107.9,65.45,42.45,0.3934,322.6,0.5068,0.8574,10,0,0,0,legit
1973,19731,west,149.42,49.91,99.5,0.6659,304.6,0.9202,0.6403,19,0,0,0,legit
1813,18133,north,280.0,73.52,206.48,0.7374,0.0,0.8345,0.7024,20,0,0,0,legit
1291,12913,central,105.45,73.61,31.84,0.302,231.6,0.8353,0.8499,18,0,0,0,legit
3091,30911,west,156.49,46.37,110.13,0.7037,291.0,0.9112,0.863,19,0,0,0,legit
5866,58662,west,154.61,86.08,68.52,0.4432,0.0,0.8082,0.8527,14,0,0,0,legit
6417,64173,central,112.32,27.8,84.52,0.7525,43.2,0.8872,0.8514,17,0,0,0,legit
2432,24322,central,160.25,49.33,110.92,0.6922,105.2,0.7801,0.5728,15,0,0,0,legit
2385,23854,south,155.78,88.09,67.68,0.4345,230.1,0.6257,0.8223,20,0,0,0,legit
9995,99951,unknown,221.79,20.57,201.22,0.9073,16391.9,0.0738,0.134,16,0,3,1,fraud
8290,82901,west,221.64,70.67,150.97,0.6811,52.2,0.7331,0.8461,11,0,0,0,legit
8094,80942,south,114.05,38.49,75.56,0.6625,0.0,0.5671,0.6226,10,0,0,0,legit
1919,19194,west,149.65,6.31,143.34,0.9579,11089.1,0.2741,0.1448,11,0,3,1,fraud
6881,68813,south,184.68,10.82,173.86,0.9414,5780.4,0.2855,0.1102,22,0,3,1,fraud
6758,67583,west,155.82,85.76,70.05,0.4496,0.0,0.8641,0.9623,13,0,0,0,legit
6699,66994,east,151.62,59.61,92.0,0.6068,403.9,0.5851,0.961,20,0,0,0,legit
6402,64022,west,230.81,157.02,73.79,0.3197,0.0,0.3514,0.803,13,0,0,0,legit
1261,12611,central,162.95,104.49,58.46,0.3588,230.6,0.5614,0.8843,22,0,0,0,legit
2033,20333,north,168.41,74.91,93.5,0.5552,465.0,0.7611,0.7329,20,0,0,0,legit
5070,50702,north,125.27,60.33,64.94,0.5184,32.5,0.5784,0.7009,12,0,0,0,legit
2452,24522,east,175.91,37.12,138.8,0.789,104.2,0.9351,0.8949,12,0,0,0,legit
2268,22683,north,156.73,86.64,70.09,0.4472,0.0,0.7968,0.9388,14,0,0,0,legit
9292,92922,east,126.48,67.45,59.03,0.4667,31.7,0.6624,0.6611,19,0,0,0,legit
7250,72504,south,141.83,64.1,77.73,0.548,249.6,0.9797,0.8725,19,0,0,0,legit
7394,73944,central,160.19,70.41,89.78,0.5604,293.6,0.477,0.8532,10,0,0,0,legit
2833,28333,west,226.42,56.15,170.28,0.752,105.8,0.4635,0.77,20,0,0,0,legit
4689,46893,west,175.51,38.06,137.45,0.7831,0.0,0.6237,0.8337,13,0,0,0,legit
4329,43294,north,134.92,58.85,76.07,0.5638,367.8,0.4063,0.653,21,0,0,0,legit
7957,79574,east,91.75,4.34,87.4,0.9527,5582.6,0.0559,0.2575,12,0,3,1,fraud
5476,54762,west,127.41,28.92,98.49,0.773,260.3,0.6136,0.7543,12,0,0,0,legit
9124,91244,central,136.77,35.97,100.81,0.737,256.2,0.4033,0.825,10,0,0,0,legit
8042,80424,east,150.48,44.17,106.31,0.7065,254.9,0.7682,0.4772,19,0,0,0,legit
4597,45974,north,148.44,5.12,143.32,0.9655,12993.9,0.3572,0.2375,3,0,3,1,fraud
2268,22683,north,189.95,74.07,115.87,0.61,85.2,0.7366,0.9267,14,0,0,0,legit
7640,76402,south,118.82,67.87,50.95,0.4288,219.1,0.7029,0.9575,19,0,0,0,legit
6307,63072,east,129.67,67.09,62.58,0.4826,0.0,0.3507,0.8841,20,0,0,0,legit
9087,90872,central,119.75,111.74,8.01,0.0669,3519.7,0.4786,0.3219,1,0,1,0,fraud
5837,58374,west,132.46,10.37,122.1,0.9217,9081.6,0.3183,0.2137,16,0,2,1,fraud
9556,95563,central,114.27,43.0,71.27,0.6237,328.2,0.8207,0.694,13,0,0,0,legit
4740,47402,unknown,179.67,169.72,9.95,0.0554,15897.3,0.1978,0.3302,3,0,3,1,fraud
8930,89302,south,274.79,60.52,214.26,0.7797,289.7,0.873,0.8588,9,0,0,0,legit
2767,27672,central,149.61,11.99,137.62,0.9199,11455.9,0.2971,0.0324,5,0,2,1,fraud
7806,78061,north,101.82,95.74,6.08,0.0597,16408.4,0.5,0.0675,4,0,3,1,fraud
2014,20142,east,146.71,8.08,138.63,0.9449,5913.1,0.0875,0.35,12,0,3,1,fraud
7046,70461,unknown,220.21,17.79,202.43,0.9192,3933.6,0.148,0.1884,4,0,2,1,fraud
6492,64921,east,167.52,59.17,108.35,0.6468,0.0,0.842,0.8138,19,0,0,0,legit
3810,38101,north,104.26,10.37,93.9,0.9005,4320.4,0.0059,0.0629,13,0,2,1,fraud
5779,57794,north,195.53,190.67,4.86,0.0248,3569.2,0.155,0.2352,6,0,2,1,fraud
5601,56013,west,170.66,112.72,57.94,0.3395,271.5,0.9563,0.8177,13,0,0,0,legit
7150,71504,east,224.03,5.41,218.62,0.9758,3272.9,0.2445,0.2681,7,0,2,1,fraud
1275,12754,north,215.22,147.28,67.93,0.3157,112.3,0.7948,0.8984,19,0,0,0,legit
1374,13744,east,145.96,86.56,59.39,0.4069,246.5,0.523,0.8264,13,0,0,0,legit
5299,52994,north,234.67,112.66,122.01,0.5199,1.9,0.7539,0.786,19,0,0,0,legit
5718,57183,south,116.79,66.88,49.91,0.4273,65.0,0.8677,0.8426,18,0,0,0,legit
1020,10201,east,131.67,88.3,43.37,0.3294,148.9,0.6091,0.6343,14,0,0,0,legit
1895,18951,central,162.95,46.02,116.93,0.7176,265.5,0.9006,0.4737,21,0,0,0,legit
2148,21484,east,249.12,84.63,164.49,0.6603,135.9,0.8602,0.6683,19,0,0,0,legit
9661,96611,east,135.03,41.81,93.23,0.6904,0.0,0.8451,0.809,20,0,0,0,legit
5850,58501,east,218.09,213.11,4.98,0.0229,14932.4,0.0885,0.1749,3,0,4,1,fraud
2607,26071,south,121.11,48.03,73.08,0.6034,320.4,0.608,0.9622,14,0,0,0,legit
9578,95784,unknown,169.89,7.88,162.0,0.9536,13833.2,0.2225,0.0236,1,0,5,1,fraud
3579,35791,central,280.0,13.47,266.53,0.9519,19265.9,0.1704,0.2131,5,0,3,1,fraud
2971,29713,south,179.31,2.3,177.02,0.9872,11875.6,0.0305,0.0054,15,0,4,1,fraud
3868,38681,west,110.89,11.93,98.97,0.8924,4159.9,0.1967,0.1275,7,0,2,1,fraud
1122,11223,west,280.0,16.52,263.48,0.941,15506.0,0.4558,0.3489,2,0,3,1,fraud
2752,27522,north,155.52,76.56,78.96,0.5077,841.3,0.6893,0.5695,11,0,0,0,legit
3447,34471,east,146.87,102.0,44.87,0.3055,0.0,0.8132,0.8454,10,0,0,0,legit
9483,94831,south,256.5,134.89,121.61,0.4741,179.0,0.9295,0.8028,11,0,0,0,legit
1138,11382,north,168.04,100.26,67.77,0.4033,0.0,0.7374,0.6444,22,0,0,0,legit
5188,51883,west,139.11,73.55,65.56,0.4713,97.1,0.8216,0.7841,12,0,0,0,legit
4388,43882,south,175.11,162.84,12.27,0.0701,12757.2,0.2841,0.0734,19,0,2,1,fraud
6299,62992,east,139.72,82.55,57.17,0.4092,340.4,0.8553,0.469,12,0,0,0,legit
4219,42191,east,132.33,33.49,98.83,0.7469,143.3,0.8854,0.9573,18,0,0,0,legit
4888,48882,south,197.48,1.12,196.36,0.9943,19789.7,0.2619,0.0954,2,0,4,1,fraud
1270,12702,north,139.0,33.8,105.2,0.7569,247.2,0.5911,0.6526,12,0,0,0,legit
7885,78852,central,138.46,52.14,86.32,0.6234,479.4,0.8137,0.5193,17,0,0,0,legit
3123,31234,central,193.31,99.88,93.43,0.4833,41.5,0.6976,0.7464,19,0,0,0,legit
8356,83563,unknown,147.51,144.5,3.01,0.0204,5633.9,0.3876,0.0715,1,0,4,1,fraud
1557,15573,central,194.91,188.81,6.1,0.0313,19464.2,0.1753,0.0895,22,0,4,1,fraud
7009,70092,south,162.18,158.91,3.28,0.0202,5889.2,0.159,0.058,18,0,4,1,fraud
8325,83253,north,176.14,55.78,120.36,0.6833,327.8,0.8105,0.9271,20,0,0,0,legit
9934,99341,east,135.57,28.63,106.95,0.7889,0.0,0.8783,0.8929,19,0,0,0,legit
2799,27993,central,121.48,117.28,4.21,0.0346,8185.6,0.1072,0.0618,2,0,5,1,fraud
5825,58253,north,165.29,157.88,7.41,0.0448,15952.5,0.4903,0.1873,11,0,2,1,fraud
1521,15214,west,192.28,132.71,59.56,0.3098,308.9,0.5315,0.733,12,0,0,0,legit
7404,74043,north,207.38,102.13,105.25,0.5075,166.1,0.6866,0.7196,19,0,0,0,legit
4359,43592,west,184.04,39.45,144.6,0.7857,179.6,0.7499,0.9761,11,0,0,0,legit
7118,71184,north,249.56,167.63,81.93,0.3283,281.5,0.9164,0.2622,20,0,0,0,legit
1585,15853,west,151.3,76.31,74.99,0.4956,531.0,0.3368,0.9228,15,0,0,0,legit
8877,88774,west,103.78,3.15,100.62,0.9696,5458.5,0.3459,0.2008,6,0,2,1,fraud
